,Timepoint,Accuracy,Subject,N_timepoints,Type,Init_marker,t_min,t_max,epoch_info,Date,Time,Condition
0,0.0,0.4871060171919771,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:35,distance
1,0.1,0.4527220630372492,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:37,distance
2,0.2,0.4756446991404011,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:39,distance
3,0.3,0.4871060171919771,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:40,distance
4,0.4,0.504297994269341,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:42,distance
5,0.5,0.5157593123209169,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:43,distance
6,0.6,0.4813753581661891,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:45,distance
7,0.7,0.4383954154727794,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:47,distance
8,0.8,0.484240687679083,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:48,distance
9,0.9,0.5214899713467048,A01,1,cue-aligned,"['LTR-s', 'LTR-l', 'RTL-s', 'RTL-l', 'TTB-s', 'TTB-l', 'BTT-s', 'BTT-l']",0.0,6.9,"<Info | 13 non-empty values
 bads: []
 ch_names: Fp1, Fp2, F7, F3, Fz, F4, F8, FC5, FC1, FC2, FC6, T7, C3, Cz, ...
 chs: 61 EEG, 3 EOG
 custom_ref_applied: True
 dig: 64 items (3 Cardinal, 61 EEG)
 experimenter: Peter T.
 file_id: 4 items (dict)
 highpass: 0.4 Hz
 line_freq: 50.0
 lowpass: 5.0 Hz
 meas_date: 2022-05-31 00:00:00 UTC
 meas_id: 4 items (dict)
 nchan: 64
 projs: []
 sfreq: 10.0 Hz
>",2023-03-12,20:58:50,distance
